,proposal_id,casuistic,num_addresses,total_amount_group,total_amount,percentage
0,103,Voted,2972,11060318.420125,68793957.743992,16.077456194
1,103,Did not vote,33199,57733639.323867,68793957.743992,83.922543806
0,148,Did not vote,76562,87468600.223164,93273318.023666,93.776657759
1,148,Voted,9434,5804717.800502,93273318.023666,6.223342241
0,286,Voted,11412,7346084.477898,150186213.042605,4.891317471
1,286,Did not vote,217445,142840128.564707,150186213.042605,95.108682529
0,191,Voted,32286,13602726.179675,94822707.205752,14.345431153
1,191,Did not vote,127025,81219981.026077,94822707.205752,85.654568847
0,186,Voted,27204,8757233.358658,94788510.767386,9.238707611
1,186,Did not vote,131655,86031277.408728,94788510.767386,90.761292389
0,170,Did not vote,99167,80532582.131452,94532913.160486,85.189993029
1,170,Voted,22830,14000331.029034,94532913.160486,14.810006971
0,346,Did not vote,241600,178921065.784679,187651534.594221,95.347510039
1,346,Voted,16610,8730590.510542,187651534.594221,4.652554816
0,443,Did not vote,314384,184326816.126135,187009756.072389,98.565347604
1,443,Voted,2639,2682939.946254,187009756.072389,1.434652396
0,299,Did not vote,215502,145389212.73494,153033973.718838,95.004533439
1,299,Voted,15543,7644760.983898,153033973.718838,4.995466561
0,304,Did not vote,219035,144610379.086184,153438861.16414,94.246254169
1,304,Voted,13053,8828482.077956,153438861.16414,5.753745831
0,45,Voted,1653,7677517.263826,45299206.651544,16.948458552
1,45,Did not vote,17859,37621689.387718,45299206.651544,83.051541448
0,71,Did not vote,28068,55757578.754559,60684366.835899,91.881289468
1,71,Voted,1880,4926788.08134,60684366.835899,8.118710532
0,74,Voted,1930,3963647.252252,61432357.836671,6.452051316
1,74,Did not vote,28632,57468710.584419,61432357.836671,93.547948684
0,376,Voted,21754,10631881.441484,181690906.643914,5.851631013
1,376,Did not vote,247193,171059025.20243,181690906.643914,94.148368987
0,379,Did not vote,247789,174823858.895847,182157162.261922,95.974188841
1,379,Voted,21696,7333303.366075,182157162.261922,4.025811159
0,139,Voted,9428,13701809.287703,88531964.754854,15.476680457
1,139,Did not vote,59552,74830155.467151,88531964.754854,84.523319543
0,412,Voted,32397,7150004.963739,187259867.111183,3.818226016
1,412,Did not vote,258124,180110062.147444,187259867.111183,96.181880787
0,418,Voted,33062,8660583.956295,187702003.619776,4.614007197
1,418,Did not vote,257786,179041419.663481,187702003.619776,95.385992803
0,226,Voted,28661,21235919.112019,95557333.370392,22.223222816
1,226,Did not vote,170767,74321414.258373,95557333.370392,77.776777184
0,394,Did not vote,246815,170582636.09243,177108340.428816,96.315416699
1,394,Voted,25773,6525704.336386,177108340.428816,3.684583301
0,40,Did not vote,16225,37183215.114263,43349608.970491,85.775203046
1,40,Voted,1988,6166393.856228,43349608.970491,14.224796954
0,66,Voted,2227,6494094.081451,57685905.122396,11.257679095
1,66,Did not vote,25508,51191811.040945,57685905.122396,88.742320905
0,340,Did not vote,238699,167730179.747723,175970519.65276,95.317204313
1,340,Voted,17499,8240339.905037,175970519.65276,4.682795687
0,184,Voted,34851,14092712.077211,94700980.78077,14.881273627
1,184,Did not vote,117109,80608268.703559,94700980.78077,85.118726373
0,135,Voted,6351,12396936.944464,86771268.799627,14.286914454
1,135,Did not vote,54111,74374331.855163,86771268.799627,85.713085546
0,156,Did not vote,79413,83984330.357224,93890506.776487,89.449224677
1,156,Voted,16453,9906176.419263,93890506.776487,10.550775323
0,109,Voted,2985,6928415.616554,69688006.505574,9.942048803
1,109,Did not vote,34105,62759590.88902,69688006.505574,90.057951197
0,325,Did not vote,228347,156100952.865479,164576449.387072,94.850115826
1,325,Voted,15706,8475496.521593,164576449.387072,5.149884174
0,266,Voted,30406,8667178.864436,119190303.714518,7.271714724
1,266,Did not vote,187096,110523124.850082,119190303.714518,92.728285276
0,417,Did not vote,256979,178264690.655189,187336851.257003,95.157300584
1,417,Voted,33728,9072160.601814,187336851.257003,4.842699416
0,124,Did not vote,47924,72155378.125269,84229391.856388,85.665320068
1,124,Voted,4976,12074013.731119,84229391.856388,14.334679932
0,140,Did not vote,61176,76453941.155444,88972046.986115,85.930293553
1,140,Voted,10577,12518105.830671,88972046.986115,14.069706447
0,16,Did not vote,9221,20278982.597781,22648701.353975,89.537065639
1,16,Voted,1004,2369718.756194,22648701.353975,10.462934361
0,58,Did not vote,23010,43666194.062999,51303835.392879,85.11292329
1,58,Voted,1794,7637641.32988,51303835.392879,14.88707671
0,387,Did not vote,246171,168149336.393505,176315650.070454,95.368355745
1,387,Voted,24641,8166313.676949,176315650.070454,4.631644255
0,257,Voted,30741,7451212.204833,114907829.955954,6.484512159
1,257,Did not vote,182137,107456617.751121,114907829.955954,93.515487841
0,442,Voted,40659,5431586.537514,187009756.072389,2.904440202
1,442,Did not vote,276364,181578169.534875,187009756.072389,97.095559798
0,433,Voted,44772,7216119.193685,186544422.12766,3.868311425
1,433,Did not vote,271665,179328302.933975,186544422.12766,96.131688575
0,126,Voted,7282,13373953.697359,84537170.847265,15.820204962
1,126,Did not vote,47574,71163217.149906,84537170.847265,84.179795038
0,223,Voted,26891,11844089.774594,95137918.09797,12.449389278
1,223,Did not vote,172177,83293828.323376,95137918.09797,87.550610722
0,271,Voted,30368,9289350.946999,135678389.790724,6.846595807
1,271,Did not vote,190273,126389038.843725,135678389.790724,93.153404193
0,272,Did not vote,191647,128640510.993472,137647359.720332,93.456577195
1,272,Voted,29572,9006848.72686,137647359.720332,6.543422805
0,33,Did not vote,13248,32371501.690346,38620097.635663,83.820351765
1,33,Voted,1151,6248595.945317,38620097.635663,16.179648235
0,36,Voted,1531,3864903.700379,41837890.347503,9.237807328
1,36,Did not vote,15343,37972986.647124,41837890.347503,90.762192672
0,82,Voted,1457,3863042.126833,64365998.581444,6.001681341
1,82,Did not vote,30892,60502956.454611,64365998.581444,93.998318659
0,377,Voted,22348,11171726.182163,181690906.643914,6.14875361
1,377,Did not vote,246599,170519180.461751,181690906.643914,93.85124639
0,336,Voted,16727,10695757.647886,175161929.173213,6.106211377
1,336,Did not vote,238259,164466171.525327,175161929.173213,93.893788623
0,256,Did not vote,181456,106715094.008599,114017141.321162,93.595658312
1,256,Voted,30144,7302047.312563,114017141.321162,6.404341688
0,360,Did not vote,244582,174278922.996478,185238300.056703,94.083633322
1,360,Voted,20584,10959377.060225,185238300.056703,5.916366678
0,365,Voted,21706,9256605.205851,184438549.416707,5.018801783
1,365,Did not vote,244444,175182092.374748,184438549.416707,94.98127855
0,330,Did not vote,236011,162480055.503563,170984459.561659,95.026212277
1,330,Voted,17697,8504404.058096,170984459.561659,4.973787723
0,161,Did not vote,84534,83762957.538457,94811598.78101,88.346740921
1,161,Voted,18864,11048641.242553,94811598.78101,11.653259079
0,162,Did not vote,85916,81533934.323912,94544370.69494,86.238803775
1,162,Voted,20353,13010436.371028,94544370.69494,13.761196225
0,21,Voted,955,4065358.120668,29657032.83837,13.707905787
1,21,Did not vote,10366,25591674.717702,29657032.83837,86.292094213
0,204,Did not vote,142362,81164370.931869,92943588.251018,87.326487452
1,204,Voted,36387,11779217.319149,92943588.251018,12.673512548
0,386,Voted,21280,7929001.123145,182080349.096158,4.35467153
1,386,Did not vote,248458,174151347.973013,182080349.096158,95.64532847
0,404,Did not vote,252834,175086361.955175,183543108.459718,95.392501208
1,404,Voted,22470,8456746.504543,183543108.459718,4.607498792
0,155,Did not vote,80539,84979373.848329,93954151.075489,90.447705477
1,155,Voted,14089,8974777.22716,93954151.075489,9.552294523
0,1,Voted,3398,4727001.317962,7440239.829285,63.53291596
1,1,Did not vote,1135,2713238.511323,7440239.829285,36.46708404
0,37,Voted,1203,6539789.604529,42397818.826906,15.424825582
1,37,Did not vote,16183,35858029.222377,42397818.826906,84.575174418
0,41,Did not vote,17409,40144904.790257,43665297.788836,91.937778564
1,41,Voted,1081,3520392.998579,43665297.788836,8.062221436
0,48,Did not vote,19408,42061612.439912,47400198.327531,88.7372077
1,48,Voted,1378,5338585.887619,47400198.327531,11.2627923
0,55,Voted,2723,10014555.630442,49570882.048707,20.202496338
1,55,Did not vote,20845,39556326.418265,49570882.048707,79.797503662
0,69,Did not vote,27886,52380386.98469,59178496.042064,88.512534937
1,69,Voted,1500,6798109.057374,59178496.042064,11.487465063
0,438,Did not vote,272330,179136870.198984,187009756.072389,95.790120238
1,438,Voted,44693,7872885.873405,187009756.072389,4.209879762
0,303,Did not vote,221790,149069899.195017,153112091.266965,97.359978537
1,303,Voted,9685,4042192.071948,153112091.266965,2.640021463
0,117,Did not vote,39392,69217577.849344,79072202.538413,87.537182002
1,117,Voted,3777,9854624.689069,79072202.538413,12.462817998
0,129,Voted,5129,9260938.183447,85342394.483833,10.851509662
1,129,Did not vote,51983,76081456.300386,85342394.483833,89.148490338
0,146,Voted,11367,8787315.409743,92283813.284131,9.522054949
1,146,Did not vote,67045,83496497.874388,92283813.284131,90.477945051
0,93,Voted,1399,5162335.862585,66676550.167474,7.74235597
1,93,Did not vote,33357,61514214.304889,66676550.167474,92.25764403
0,323,Did not vote,232504,158026930.098715,165329303.814722,95.583134056
1,323,Voted,15653,7302373.716007,165329303.814722,4.416865944
0,356,Did not vote,252779,176494905.960764,184445100.142235,95.68966908
1,356,Voted,11929,7950194.181471,184445100.142235,4.31033092
0,62,Voted,1745,3745932.673685,52663957.305801,7.112896306
1,62,Did not vote,24003,48918024.632116,52663957.305801,92.887103694
0,80,Voted,1110,2047266.684688,64520721.408803,3.173037499
1,80,Did not vote,31400,62473454.724115,64520721.408803,96.826962501
0,280,Did not vote,208613,135880537.983169,145379336.316478,93.46619776
1,280,Voted,18872,9498798.333309,145379336.316478,6.53380224
0,362,Did not vote,244209,174164200.8995,184856154.171465,94.216068532
1,362,Voted,21823,10691959.271965,184856154.171465,5.783934714
0,231,Voted,23927,10239163.399323,103021426.605396,9.938867803
1,231,Did not vote,176552,92782263.206073,103021426.605396,90.061132197
0,106,Voted,2497,7709416.133512,69396873.252372,11.109169293
1,106,Did not vote,34143,61687457.11886,69396873.252372,88.890830707
0,322,Voted,16754,8953701.254751,163100053.786347,5.48969853
1,322,Did not vote,225999,154146352.531596,163100053.786347,94.51030147
0,410,Voted,10923,10104364.91366,186002255.508753,5.432388379
1,410,Did not vote,265574,175897890.595093,186002255.508753,94.567611621
0,172,Voted,24842,12074297.135121,94638144.339153,12.758383228
1,172,Did not vote,108410,82563847.204032,94638144.339153,87.241616772
0,218,Did not vote,164584,79555791.143966,90996420.307381,87.427385468
1,218,Voted,31045,11440629.163415,90996420.307381,12.572614532
0,439,Voted,43967,7236213.074271,187009756.072389,3.869430786
1,439,Did not vote,273056,179773542.998118,187009756.072389,96.130569214
0,405,Did not vote,254273,175760019.892515,184368223.5263,95.330972188
1,405,Voted,21511,8608203.633785,184368223.5263,4.669027812
0,227,Voted,25741,10924251.979821,95808235.538797,11.402205581
1,227,Did not vote,174032,84883983.558976,95808235.538797,88.597794419
0,309,Voted,15978,6949538.344287,155525508.649341,4.468423479
1,309,Did not vote,217821,148575970.305054,155525508.649341,95.531576521
0,94,Voted,1686,5690931.033527,66807818.436939,8.518360825
1,94,Did not vote,33261,61116887.403412,66807818.436939,91.481639175
0,238,Did not vote,182439,98215790.28877,106198392.877716,92.483311308
1,238,Voted,20236,7982602.588946,106198392.877716,7.516688692
0,137,Did not vote,62305,77572848.899366,88531964.7548541,87.621289231
1,137,Voted,6675,10959115.855488,88531964.7548541,12.378710769
0,262,Did not vote,186698,108453834.64622,116717403.079675,92.920020309
