,proposal_id,casuistic,num_addresses,total_amount_group,total_amount,percentage
1,420,Did not vote,257761,179569799.125721,187917984.363309,95.557537898
0,230,Voted,22110,8827391.800891,103021426.605396,8.568500837
1,230,Did not vote,178369,94194034.804505,103021426.605396,91.431499163
0,42,Voted,1186,4281922.548134,44054820.176725,9.719532462
1,42,Did not vote,17456,39772897.628591,44054820.176725,90.280467538
0,175,Voted,23884,11170024.554649,94709414.694615,11.793995972
1,175,Did not vote,114231,83539390.139966,94709414.694615,88.206004028
0,179,Voted,29896,9279573.239063,94791872.531755,9.78941864
1,179,Did not vote,114744,85512299.2926919,94791872.531755,90.21058136
0,239,Did not vote,187587,99121556.526502,107368205.249513,92.31928232
1,239,Voted,16115,8246648.723011,107368205.249513,7.68071768
0,355,Voted,26341,10856991.801151,184387661.923864,5.888133559
1,355,Did not vote,237651,173530670.122713,184387661.923864,94.111866441
0,279,Did not vote,206173,130496549.803081,140204880.239491,93.075611619
1,279,Voted,18988,9708330.43641,140204880.239491,6.924388381
0,116,Did not vote,38893,71771342.009615,78309115.005914,91.651325652
1,116,Voted,3562,6537773.996299,78309115.005914,8.348675625
0,374,Voted,21203,8283189.398262,182125610.516752,4.548064039
1,374,Did not vote,247616,173850812.11849,182125610.516752,95.45654322
0,210,Did not vote,148983,80979479.249896,93610236.99449,86.507076416
1,210,Voted,40174,12630757.744594,93610236.99449,13.492923584
0,440,Did not vote,274555,180246076.806354,187009756.072389,96.383247907
1,440,Voted,42468,6763679.266035,187009756.072389,3.616752093
0,145,Did not vote,64938,82196584.735952,92372731.310713,88.983603245
1,145,Voted,12464,10176146.574761,92372731.310713,11.016396755
0,384,Voted,20538,7213952.359541,182080349.096158,3.961960967
1,384,Did not vote,249200,174866396.736617,182080349.096158,96.038039033
0,200,Voted,34923,10052264.584583,95228169.313291,10.555977981
1,200,Did not vote,127258,85175904.728708,95228169.313291,89.444022019
0,444,Voted,2348,2516854.118768,187009756.072389,1.345841079
1,444,Did not vote,314675,184492901.953621,187009756.072389,98.654158921
0,401,Voted,22562,9235830.450493,183325654.608732,5.037936709
1,401,Did not vote,252605,174089824.158239,183325654.608732,94.962063291
0,28,Voted,977,4601220.399266,34215218.585778,13.447876674
1,28,Did not vote,11771,29613998.186512,34215218.585778,86.552123326
0,47,Voted,1408,4611965.416872,45811862.576316,10.067186003
1,47,Did not vote,18378,41199897.159444,45811862.576316,89.932813997
0,53,Did not vote,21328,41175175.461743,48884214.909027,84.230002545
1,53,Voted,1903,7709039.447284,48884214.909027,15.769997455
0,61,Voted,1598,7326969.695645,52451231.162964,13.969109081
1,61,Did not vote,23941,45124261.467319,52451231.162964,86.030890919
0,357,Did not vote,244529,175345766.353927,184545224.188206,95.015065887
1,357,Voted,20410,9199457.834279,184545224.188206,4.984934113
0,229,Voted,21556,8338384.911313,103021426.605396,8.093835609
1,229,Did not vote,178923,94683041.694083,103021426.605396,91.906164391
0,287,Did not vote,217628,142348810.761464,150186213.042605,94.781543444
1,287,Voted,11229,7837402.281141,150186213.042605,5.218456556
0,119,Voted,4324,8229214.369016,80708752.687702,10.196185785
1,119,Did not vote,40488,72479538.318686,80708752.687702,89.803814215
0,121,Did not vote,43158,74079697.556068,82112282.723538,90.21755954
1,121,Voted,3222,8032585.16747,82112282.723538,9.78244046
0,275,Voted,28894,8248373.650445,139806267.005293,5.899859732
1,275,Did not vote,195543,131557893.354848,139806267.005293,94.100140268
0,143,Did not vote,61887,80259744.846664,92030751.002159,87.209703249
1,143,Voted,12395,11771006.155495,92030751.002159,12.790296751
0,81,Voted,1421,4112215.863651,64238957.553997,6.401436169
1,81,Did not vote,30753,60126741.690346,64238957.553997,93.598563831
0,352,Did not vote,236986,176302577.354005,184713352.013277,95.446580029
1,352,Voted,25127,8410774.659272,184713352.013277,4.553419971
0,425,Voted,9005,7659460.583933,187928743.18802,4.075725966
1,425,Did not vote,283904,180269282.604087,187928743.18802,95.924274034
0,118,Voted,4051,10288028.155788,79366945.116074,12.962610745
1,118,Did not vote,39716,69078916.960286,79366945.116074,87.037389255
0,331,Voted,14879,10374961.056678,171146980.618981,6.062018167
1,331,Did not vote,238942,160772019.562303,171146980.618981,93.937981833
0,211,Did not vote,156544,84326097.827091,93803589.272241,89.896451171
1,211,Voted,33588,9477491.44515,93803589.272241,10.103548829
0,154,Did not vote,75607,84091157.227301,93486414.34774,89.950136406
1,154,Voted,13197,9395257.120439,93486414.34774,10.049863594
0,259,Did not vote,181491,105690986.566286,114951069.037447,91.944326792
1,259,Voted,31977,9260082.471161,114951069.037447,8.055673208
0,373,Voted,22258,8042800.473415,182167662.141501,4.415053901
1,373,Did not vote,246418,174124861.668086,182167662.141501,95.584946099
0,399,Did not vote,254235,175567256.684412,182549072.447447,96.175375931
1,399,Voted,20752,6981815.763035,182549072.447447,3.824624069
0,395,Voted,26707,7251178.250197,179075819.463728,4.049222431
1,395,Did not vote,246399,171824641.213531,179075819.463728,95.950777569
0,144,Voted,10545,10503256.432349,92220558.091399,11.389278757
1,144,Did not vote,65881,81717301.65905,92220558.091399,88.610721243
0,318,Did not vote,225592,151418084.502524,160441501.907024,94.375883236
1,318,Voted,13406,9023417.4045,160441501.907024,5.624116764
0,59,Voted,1362,6059728.997025,52451231.162964,11.553072945
1,59,Did not vote,24177,46391502.165939,52451231.162964,88.446927055
0,187,Did not vote,114517,80734216.734122,94534397.993952,85.401947278
1,187,Voted,40940,13800181.25983,94534397.993952,14.598052722
0,185,Did not vote,112476,77903495.292511,94700980.78077,82.262606628
1,185,Voted,39484,16797485.488259,94700980.78077,17.737393372
0,132,Voted,5540,7895719.142203,85837338.89381,9.198466826
1,132,Did not vote,54348,77941619.751607,85837338.89381,90.801533174
0,278,Voted,18146,8975249.12224,140204880.239491,6.401524046
1,278,Did not vote,207015,131238024.117251,140204880.239491,93.604462194
0,112,Did not vote,35850,69256144.67844,75265117.223481,92.016258306
1,112,Voted,2832,6008972.545041,75265117.223481,7.983741694
0,147,Did not vote,75464,86318320.881708,93273318.023666,92.543422611
1,147,Voted,10532,6954997.141958,93273318.023666,7.456577389
